FLOOR 0,-1,0

LONG_WALL 160,0,5 2,20,160 270
LONG_WALL -160,0,5 2,20,160 90

LONG_WALL 5,0,160 160,20,2 180
LONG_WALL 5,0,-160 160,20,2 0

CORNER_WALL -152.5,0,-155 8,4,4 45
CORNER_WALL -152.5,0,155 8,4,4 135
CORNER_WALL 152.5,0,155 8,4,4 225
CORNER_WALL 152.5,0,-155 8,4,4 315


//The tower in the middle//
PAINT_WALL -40,-1,40 0
PAINT_WALL -30,-1,40 0
PAINT_WALL -20,-1,40 0
PAINT_WALL 40,-1,40 0
PAINT_WALL 30,-1,40 0
PAINT_WALL 20,-1,40 0
PAINT_WALL -40,-1,48 180
PAINT_WALL -30,-1,48 180
PAINT_WALL -20,-1,48 180
PAINT_WALL 40,-1,48 180
PAINT_WALL 30,-1,48 180
PAINT_WALL 20,-1,48 180
PAINT_WALL -40,-1,40 270
PAINT_WALL -40,-1,30 270
PAINT_WALL -40,-1,20 270
PAINT_WALL -40,-1,-40 270
PAINT_WALL -40,-1,-30 270
PAINT_WALL -40,-1,-20 270
PAINT_WALL -48,-1,40 90
PAINT_WALL -48,-1,30 90
PAINT_WALL -48,-1,20 90
PAINT_WALL -48,-1,-40 90
PAINT_WALL -48,-1,-30 90
PAINT_WALL -48,-1,-20 90
PAINT_WALL -40,-1,-40 180
PAINT_WALL -30,-1,-40 180
PAINT_WALL -20,-1,-40 180
PAINT_WALL 40,-1,-40 180
PAINT_WALL 30,-1,-40 180
PAINT_WALL 20,-1,-40 180
PAINT_WALL -40,-1,-48 0
PAINT_WALL -30,-1,-48 0
PAINT_WALL -20,-1,-48 0
PAINT_WALL 40,-1,-48 0
PAINT_WALL 30,-1,-48 0
PAINT_WALL 20,-1,-48 0
PAINT_WALL 40,-1,40 90
PAINT_WALL 40,-1,30 90
PAINT_WALL 40,-1,20 90
PAINT_WALL 40,-1,-40 90
PAINT_WALL 40,-1,-30 90
PAINT_WALL 40,-1,-20 90
PAINT_WALL 48,-1,40 270
PAINT_WALL 48,-1,30 270
PAINT_WALL 48,-1,20 270
PAINT_WALL 48,-1,-40 270
PAINT_WALL 48,-1,-30 270
PAINT_WALL 48,-1,-20 270


//The fence in the middle//
PAINT_WALL -80,-1,80 0
PAINT_WALL -70,-1,80 0
PAINT_WALL -60,-1,80 0
PAINT_WALL -50,-1,80 0
PAINT_WALL -40,-1,80 0
PAINT_WALL -30,-1,80 0
PAINT_WALL 80,-1,80 0
PAINT_WALL 70,-1,80 0
PAINT_WALL 60,-1,80 0
PAINT_WALL 50,-1,80 0
PAINT_WALL 40,-1,80 0
PAINT_WALL 30,-1,80 0
PAINT_WALL -80,-1,88 180
PAINT_WALL -70,-1,88 180
PAINT_WALL -60,-1,88 180
PAINT_WALL -50,-1,88 180
PAINT_WALL -40,-1,88 180
PAINT_WALL -30,-1,88 180
PAINT_WALL 80,-1,88 180
PAINT_WALL 70,-1,88 180
PAINT_WALL 60,-1,88 180
PAINT_WALL 50,-1,88 180
PAINT_WALL 40,-1,88 180
PAINT_WALL 30,-1,88 180
WALL_HAMMER 75,-1,94 0
WALL_HAMMER 35,-1,94 0
WALL_HAMMER -75,-1,94 0
WALL_HAMMER -35,-1,94 0
PAINT_WALL -80,-1,80 270
